telephone,nom_complet,email,points_fidelite
160738354,GUILLOU DENISE,denise.guillou@live.com,229
0241576753,Fournier Geneviève,geneviève.fournier@tele2.fr,307
03 71 02 52 19,Pages Manon,,77
05.35.83.96.31,Margaret Guibert,margaret.guibert@bouygtel.fr,100
+33(0)327342457,Aurélie Clerc,aurélie.clerc@bouygtel.fr,133
05.67.87.71.82,Roche Anaïs,,470
03.70.35.16.34,Pierre Robert,,47
+33(0)373369093,HENRIETTE COLIN,henriette.colin@orange.fr,448
03 86 54 86 44,Carpentier Céline,,85
02.99.58.29.40,Sylvie Gautier,,112
04.22.71.25.21,Reynaud Margot,margot.reynaud@sfr.fr,131
03 87 02 18 38,Boulay Timothée,,393
174798530,Marchal Christophe,,192
05.63.20.57.82,Letellier Célina,célina.letellier@laposte.net,361
183888439,Chrétien Roland,roland.chrétien@tiscali.fr,300
05.35.15.65.77,LACROIX ANTOINE,,86
05 33 48 40 45,Raymond Chevallier,,343
04 42 45 58 57,Marianne Boulanger,marianne.boulanger@gmail.com,42
04.79.25.13.52,FONTAINE JULIE,,105
02.38.50.19.86,Roger Lesage,,370
+33563169723,SCHMITT WILLIAM,,286
+33482846746,PARENT LAURE,,122
0175612002,Normand Virginie,,443
02.97.78.44.80,Patricia Noël,patricia.noël@free.fr,228
0246521516,ROUX MICHEL,michel.roux@laposte.net,212
261082752,ISAAC DIDIER,,79
02 47 65 22 28,DENIS BONNEAU,,156
+33(0)356329507,Pelletier Célina,,128
+33434773380,Bonneau Laetitia,laetitia.bonneau@tele2.fr,176
0233741696,Caron Claude,,372
01 73 39 99 10,SABINE COLIN,,92
03.65.84.61.05,CAMILLE BOYER,,479
466800682,Chauvet Véronique,véronique.chauvet@orange.fr,477
320617316,Patrick Blanchet,,160
262574002,Geneviève Delmas,geneviève.delmas@gmail.com,277
04 80 20 57 75,Godard Nathalie,,415
03 65 30 97 17,Susanne Collin,susanne.collin@voila.fr,65
05.65.02.60.44,Lefebvre Robert,robert.lefebvre@wanadoo.fr,28
01.55.44.01.18,TOUSSAINT CATHERINE,catherine.toussaint@yahoo.fr,386
0130774622,Gillet Dominique,dominique.gillet@bouygtel.fr,356
05 35 54 69 07,Alfred Gay,,498
02.85.40.06.08,FAURE DANIEL,daniel.faure@sfr.fr,181
03 84 01 59 16,Le Roux Franck,,194
04.69.22.36.65,Rémy Émilie,émilie.rémy@orange.fr,467
0235603497,BÈGUE ALEXANDRIE,alexandrie.bègue@ifrance.com,341
0237839562,Coulon André,,455
04 22 41 02 01,Antoine Marin,,212
03.81.02.28.91,Antoinette Lopez,,499
0467733394,Marthe Collet,,295
02 78 16 40 08,THOMAS TRISTAN,,403
247639969,Emmanuel Raynaud,,33
01.80.56.43.08,Lopez Raymond,,211
02 57 33 75 50,Valentin Claude,,496
03 20 12 81 13,HENRIETTE BERGER,,352
0567086119,MICHELLE DAVID,michelle.david@tiscali.fr,490
547396819,Josette Leroux,,268
470189630,Morel Astrid,,93
+33(0)494870010,LACOMBE HORTENSE,,14
0519851725,Rivière Michèle,,231
139587293,GILLES MARIE,,213
04.15.62.65.27,Alphonse Fernandes,alphonse.fernandes@hotmail.fr,481
02 55 98 23 62,Bernard Roy,bernard.roy@gmail.com,468
278215165,Christiane Besson,christiane.besson@noos.fr,136
494307674,Henri Bourgeois,,125
437866182,Georges Baron,georges.baron@wanadoo.fr,443
321155467,Célina Henry,,392
01 83 69 90 34,PASQUIER SOPHIE,,249
04.58.08.83.69,JEANNE BESSON,jeanne.besson@bouygtel.fr,168
05 96 60 39 25,Guyot Océane,,263
03.67.99.85.47,Philippe Bernard,philippe.bernard@ifrance.com,388
+33(0)546988458,TECHER JÉRÔME,,283
04.89.54.19.18,BOULANGER PATRICK,,56
172453734,Léon Salmon,,82
+33170437005,ANOUK ROSSI,,435
04 27 38 36 16,Élodie Lévy,élodie.lévy@ifrance.com,73
0178087638,Regnier Laurence,laurence.regnier@free.fr,370
0160032269,COSTE JEAN,,480
03 22 85 53 02,LAURENT PAULETTE,,474
05.36.14.11.01,BLANCHARD MONIQUE,,216
04.20.72.56.31,Vincent Michelle,,11
01 56 54 82 62,Thibault Jérôme,,258
05.86.89.99.23,Léon Ledoux,,209
565997684,LAMY CHRISTELLE,,63
170751352,CHAUVEAU ISAAC,isaac.chauveau@wanadoo.fr,390
01.39.36.41.25,MARTIN GAILLARD,,139
252488208,OLIVIE GONCALVES,olivie.goncalves@bouygtel.fr,355
07.84.22.99.85,Jean Rémy,,82
02.62.00.95.39,Rolland Gabriel,,497
04.27.19.35.37,Nicolas Wagner,nicolas.wagner@voila.fr,435
+33248642258,Potier Corinne,,285
534114678,Marianne Ribeiro,marianne.ribeiro@yahoo.fr,254
03 55 22 45 81,Hortense Neveu,,72
+33427220151,Suzanne Launay,,475
04.73.13.98.80,ÉLÉONORE NOËL,,21
05 54 79 41 48,Charrier Stéphanie,,211
01 44 97 65 76,Lopez Guy,,224
0240034947,MAILLET CLAIRE,,286
+33339019349,Joseph Adélaïde,,435
322530943,GIRAUD BERTRAND,,233
581735396,Lemaire Paulette,paulette.lemaire@club-internet.fr,269
+33(0)613020914,LEROY ANTOINETTE,,175
134073116,Suzanne Diaz,suzanne.diaz@bouygtel.fr,380
01 45 74 82 41,AUDREY BOUVIER,audrey.bouvier@laposte.net,374
0490498380,Rodriguez Suzanne,,385
230230427,BOUVIER MATTHIEU,,189
540903450,CHRISTELLE WEISS,,91
324692217,PONS LAURENT,laurent.pons@club-internet.fr,123
02 97 12 98 25,Diane Paris,,72
536432456,PINEAU HONORÉ,,272
177759757,Paul Legendre,paul.legendre@free.fr,485
+33(0)647189251,Nicolas Garcia,nicolas.garcia@orange.fr,449
160329692,Joly Thérèse,,39
178667424,ÉRIC ROUSSET,éric.rousset@ifrance.com,407
04.91.77.44.45,CHEVALLIER MONIQUE,monique.chevallier@hotmail.fr,29
558399117,ADÉLAÏDE LACOMBE,adélaïde.lacombe@orange.fr,288
04 98 50 55 17,Marine Goncalves,,275
+33(0)326994526,JULIEN EUGÈNE,,34
+33(0)427487574,Cécile Lelièvre,,347
02 37 65 87 82,Lucas Céline,céline.lucas@free.fr,380
344171348,RAMOS ANDRÉE,,163
04 20 15 27 96,Tristan Julien,,408
0368433321,TEXIER JEANNINE,,382
183346391,Christophe Riou,christophe.riou@free.fr,137
05 40 95 12 20,Alex Gay,alex.gay@free.fr,290
02 72 81 47 37,Corinne Gay,,254
755094752,BONNEAU LOUISE,,365
+33470461834,GAUTIER NICOLE,nicole.gautier@live.com,269
02 47 90 62 90,LENOIR VÉRONIQUE,,242
471431442,SAUVAGE ADRIEN,,10
0368226193,Noël Jean,jean.noël@tiscali.fr,226
03.20.64.20.49,VÉRONIQUE LAPORTE,,416
06.69.31.33.06,Guy Neveu,guy.neveu@orange.fr,211
03 63 41 62 81,Alexandre Lenoir,,379
02.40.65.82.03,RENÉ LEGROS,,202
471328261,Hélène Becker,,458
03 65 69 95 96,Le Gall Sophie,,137
03 57 24 27 43,MARCHAL ZOÉ,,329
372818808,GENEVIÈVE PEREIRA,geneviève.pereira@noos.fr,197
04 63 34 32 39,LOUISE FLEURY,louise.fleury@laposte.net,189
175593289,Le Goff Louise,,101
01.45.62.45.17,Monnier Lucie,lucie.monnier@bouygtel.fr,171
532625614,Marie Carlier,marie.carlier@tele2.fr,467
01.48.46.22.24,BERTRAND THIBAUT,,354
179161834,RENÉE MOREL,,461
+33177223144,Inès Boulanger,inès.boulanger@tele2.fr,103
02 40 85 42 12,Christine Meunier,christine.meunier@gmail.com,496
01 34 97 27 35,GRÉGOIRE ROBERT,,496
380287816,Dorothée Maurice,dorothée.maurice@bouygtel.fr,283
0222648651,Jean Lombard,jean.lombard@tiscali.fr,91
+33360909764,Picard Henriette,henriette.picard@gmail.com,372
02 55 41 64 12,Martins Aimé,,184
05 90 90 86 32,Carlier Raymond,,380
01.53.86.89.51,MICHÈLE LELEU,michèle.leleu@club-internet.fr,424
05 57 54 60 45,Joly Grégoire,grégoire.joly@gmail.com,436
02.29.83.83.17,Prévost Noël,,77
269576819,LAETITIA DURAND,laetitia.durand@club-internet.fr,269
04 44 69 55 86,Mathieu Lucie,lucie.mathieu@live.com,377
+33(0)384358708,Marcelle Grégoire,marcelle.grégoire@live.com,49
370012605,OCÉANE FOURNIER,océane.fournier@free.fr,230
05.54.50.81.50,MARIANNE ALLARD,marianne.allard@live.com,464
02 45 28 04 78,Bernier Vincent,vincent.bernier@bouygtel.fr,382
04.32.37.43.80,Michel Aimée,,215
05.64.10.56.06,ÉLISE FABRE,,270
0458658970,Patricia Richard,,251
+33134401553,BONNET ZACHARIE,zacharie.bonnet@club-internet.fr,152
01 46 57 03 45,Ruiz Tristan,,202
485676981,CHARLES CLERC,charles.clerc@noos.fr,448
389288311,Joséphine Muller,,212
02 76 54 09 87,Martine Perrot,,197
02.98.82.64.48,Lesage Patricia,,45
01 43 64 69 60,Grenier Alfred,,273
540842415,THÉODORE LEFÈVRE,,357
05.90.04.27.06,Philippine Royer,,52
01 46 58 41 66,Christophe Garnier,,427
438463110,Albert Martin,,21
0345472137,PERRIER VÉRONIQUE,véronique.perrier@yahoo.fr,158
04.42.00.58.20,ARNAUDE HAMON,,152
04.69.83.45.72,Leconte Isabelle,,283
02 76 73 83 98,BLIN ADRIENNE,adrienne.blin@dbmail.com,66
04.77.95.10.82,Margaux Foucher,margaux.foucher@club-internet.fr,403
320108929,Morvan Adélaïde,,371
04.27.09.65.15,Christiane Bouvet,,243
0449913558,LAURE LETELLIER,laure.letellier@gmail.com,17
384389117,Ferrand Bernard,bernard.ferrand@hotmail.fr,410
06.09.01.33.88,Marchand Marianne,,263
02 47 56 21 49,Michelle Martin,,112
02 29 92 43 99,Sabine Lévy,,173
553036886,Guy Berthelot,,14
04.83.89.30.42,Lefèvre Alexandria,alexandria.lefèvre@bouygtel.fr,298
02.35.06.52.70,ALEXANDRIA LELEU,,374
05.33.01.51.19,THIBAUT MARTEL,,381
05.90.72.15.60,Aurore Potier,,383
285727383,Laurent Stéphanie,,380
03.68.83.31.87,ÉLODIE LEMOINE,,48
03.69.69.55.66,Anne Grégoire,anne.grégoire@tele2.fr,293
04.20.57.96.49,Luc Gros,luc.gros@club-internet.fr,259
+33235691775,SABINE TOUSSAINT,,84
0480908219,CHARPENTIER MARTINE,,54
03 59 76 07 06,EMMANUELLE RENAUD,,489
0276534610,Boulanger Gilbert,,357
04 88 23 40 16,Gros Geneviève,geneviève.gros@orange.fr,246
02.77.92.30.51,PÉNÉLOPE LOPES,pénélope.lopes@bouygtel.fr,160
01 78 74 18 31,Torres Laetitia,laetitia.torres@sfr.fr,450
490374318,Lacombe Astrid,,357
0519714063,Corinne Roux,corinne.roux@bouygtel.fr,21
+33183840881,Leconte Dorothée,,364
296842327,Perrier Xavier,,345
0328936957,Jérôme Lejeune,,452
02.79.55.83.10,Laurent Gomes,,383
04 76 52 92 99,Samson Martin,,396
02 99 68 23 04,Denise Leduc,,437
+33(0)243985634,Sabine Turpin,,448
04.89.01.83.48,JEAN DOS SANTOS,,343
04 66 66 95 13,Laurence Carlier,,79
+33(0)475488954,Susanne Boucher,susanne.boucher@voila.fr,38
02.54.60.05.92,GILLET THÉRÈSE,,97
+33250147519,CATHERINE AUBERT,catherine.aubert@bouygtel.fr,262
03.70.15.08.35,Émilie Berthelot,émilie.berthelot@club-internet.fr,283
01.48.57.03.00,MARION OCÉANE,,114
05.67.22.95.46,HÉLÈNE LAROCHE,hélène.laroche@hotmail.fr,322
358406366,Philippine Wagner,,206
04 71 79 19 77,FRANÇOIS ALLAIN,françois.allain@voila.fr,500
470902220,Rodriguez Adélaïde,,87
03.80.11.67.62,Joseph Dupuy,,351
01.73.55.14.90,LEBON ADRIEN,adrien.lebon@wanadoo.fr,137
03.61.95.76.80,NGUYEN MARGARET,,474
05.31.76.68.89,Berger Alexandre,,254
04.90.16.70.21,CHARLOTTE SAUVAGE,,420
363061139,Emmanuel Prévost,,59
0344403763,Jérôme Grégoire,,199
0465887818,TIMOTHÉE RUIZ,,23
05 79 77 09 24,Thierry Dos Santos,,122
351825317,Élisabeth Lévêque,élisabeth.lévêque@dbmail.com,53
139516362,VIDAL ADRIENNE,,160
+33(0)594184220,Grégoire Leleu,,493
474639681,Marthe Dupuis,marthe.dupuis@bouygtel.fr,362
0466228116,ÉDOUARD ADAM,édouard.adam@dbmail.com,74
01 56 47 87 81,Martel Zoé,zoé.martel@free.fr,189
0256597538,Patrick Prévost,,228
02.46.48.88.09,Maury Marcel,,465
02 57 94 72 64,Susanne Carpentier,,400
415854641,Martineau Isaac,,269
05.90.84.24.42,Garnier Aimé,,145
+33(0)411866576,DE SOUSA CHARLES,,315
02 30 64 28 60,ADRIENNE CLÉMENT,adrienne.clément@laposte.net,315
02.57.76.34.31,Barbe Bernard,,114
04 85 26 07 23,Thibault Auger,thibault.auger@laposte.net,451
04.89.76.43.60,Louis Éric,éric.louis@ifrance.com,309
558587631,LEDOUX LUCY,,384
03.86.96.62.84,GODARD MANON,,421
05.19.35.02.70,Ollivier Nathalie,,492
03 54 66 10 28,Lopez Chantal,,30
05.45.73.42.54,DE SOUSA MATHILDE,,378
04.89.03.43.77,Vallet Valérie,valérie.vallet@live.com,235
03 89 56 75 33,Adam Margaret,,320
+33411705509,Aurélie Lucas,aurélie.lucas@wanadoo.fr,180
495059986,Théophile Carlier,théophile.carlier@sfr.fr,463
04 67 72 93 05,PAULETTE BARTHELEMY,,175
01.77.78.01.22,DUPUY ADÉLAÏDE,adélaïde.dupuy@sfr.fr,432
05.79.31.78.19,PATRICK BERGER,patrick.berger@ifrance.com,253
+33(0)384133735,Anouk Bertin,,382
0361709650,Lefort Théodore,,356
+33(0)587515771,René Renard,rené.renard@ifrance.com,22
03.70.50.35.43,Antoinette Martinez,,362
+33(0)324279833,Allard Laurent,laurent.allard@sfr.fr,276
251922387,ROBERT LEDUC,,84
03 21 31 55 95,Lacombe Dorothée,,480
04.42.61.28.60,Jules Faivre,jules.faivre@ifrance.com,295
01.58.99.18.30,Leroux Alexandrie,alexandrie.leroux@hotmail.fr,408
05 46 30 94 84,VICTOIRE JACOB,,214
0155855085,Sauvage Brigitte,brigitte.sauvage@hotmail.fr,399
0491573157,CLAUDE TEXIER,claude.texier@live.com,497
0430806239,Langlois Nathalie,,407
04.68.23.90.35,Lecoq Louis,,132
03.83.34.03.12,Weber Jérôme,jérôme.weber@orange.fr,318
02 23 81 77 03,Evrard Gabriel,,183
05 19 88 05 04,Caroline Weiss,caroline.weiss@tiscali.fr,447
02.50.69.61.11,GUILLAUME HOAREAU,,90
01.83.70.55.73,Julie Briand,,226
04.15.71.12.74,Luc Joseph,,327
04.78.93.83.23,Noël Margaret,,422
234193315,Hernandez Margaret,,100
04 13 98 14 03,NICOLE DIDIER,,380
+33458649386,Margot Merle,,398
322872416,PINEAU NICOLE,,395
+33156154335,Astrid Loiseau,,427
05.47.49.90.96,MICHEL SALMON,michel.salmon@club-internet.fr,376
04.44.93.99.52,HUMBERT HENRI,,350
261960234,Audrey Renard,,280
240199102,Pierre Auguste,,351
0254398257,Caron Jeanne,,123
473668474,Mace Danielle,danielle.mace@club-internet.fr,114
02.19.37.69.57,EUGÈNE GONZALEZ,eugène.gonzalez@live.com,305
01 39 37 73 76,CAPUCINE MARTINEAU,,374
04.73.88.13.69,Josette Morvan,josette.morvan@wanadoo.fr,31
278685170,Pruvost Bernadette,bernadette.pruvost@yahoo.fr,369
03.84.71.60.13,Simone Dupuy,,173
+33(0)355335815,Lucy Olivier,lucy.olivier@gmail.com,257
02 37 76 44 23,Masse Claude,,283
359258523,Timothée Dijoux,,330
+33177308639,Valentine Rémy,valentine.rémy@sfr.fr,21
04 30 51 93 12,PICARD FRANÇOIS,françois.picard@orange.fr,126
04 43 25 15 29,Maryse Bouvier,maryse.bouvier@laposte.net,185
03 62 61 57 99,Richard Adam,,267
146505363,Colas Anne,,322
05 57 06 06 99,MARYSE BERTRAND,,115
02.57.60.34.39,JOURDAN CHRISTIANE,christiane.jourdan@ifrance.com,203
05.56.93.90.89,Lelièvre Charles,,154
03.44.43.47.27,Moreau Sylvie,,420
+33(0)422300216,BARON MARIANNE,marianne.baron@wanadoo.fr,444
04.42.88.75.75,Claire Rémy,claire.rémy@tele2.fr,87
+33223910783,Olivie Marion,,303
02 77 09 55 62,NICOLE LAUNAY,nicole.launay@wanadoo.fr,388
556504272,LAETITIA AUBRY,laetitia.aubry@ifrance.com,294
0276886049,Matthieu Gonzalez,,459
0238018774,Robin Claude,claude.robin@hotmail.fr,55
486610120,Raymond Théophile,,236
553689372,Élisabeth Bodin,,171
04.22.39.17.15,Marianne Durand,,32
06.94.85.42.63,Auguste Techer,,59
05.63.55.87.92,Jacob Renée,renée.jacob@tiscali.fr,328
03 25 05 30 29,Françoise Mendès,,87
02 23 47 86 93,Charles Arnaud,,357
540250519,POIRIER THIERRY,thierry.poirier@voila.fr,84
01.39.99.00.09,Arnaude Navarro,arnaude.navarro@laposte.net,453
04 57 16 39 59,Da Costa Sabine,,476
0139296628,SUZANNE GONCALVES,,117
05.82.04.26.37,GUYOT ANNE,,264
02 23 95 05 18,THÉODORE EVRARD,,96
0361560629,Arnaude Samson,arnaude.samson@voila.fr,361
05.58.56.77.13,THÉOPHILE DANIEL,théophile.daniel@laposte.net,195
+33(0)564092918,LUCY COULON,,38
05 16 83 08 64,Mahe Margaux,margaux.mahe@yahoo.fr,482
361788315,AMÉLIE IMBERT,,166
02.48.06.82.51,Denise Perrin,,111
+33373983957,PASQUIER CORINNE,corinne.pasquier@gmail.com,303
05.34.07.53.40,Victor Bertrand,,58
+33(0)360269317,DESCAMPS HÉLÈNE,,148
290644492,Nicolas Suzanne,,355
246875793,Barbier Stéphanie,,50
02 99 80 30 62,Ferreira Gabriel,,195
04 74 14 97 98,LE GALL FRANÇOIS,françois.legall@sfr.fr,292
241015904,Aimée Moreno,,109
03.39.64.01.47,MARINE CHAUVET,marine.chauvet@live.com,247
175343802,ROCHE ALAIN,alain.roche@sfr.fr,200
04 76 70 50 16,Berthelot Patricia,patricia.berthelot@wanadoo.fr,421
02 52 18 29 53,Lefort Colette,colette.lefort@gmail.com,480
176245730,GILBERT PINTO,,434
04.82.08.63.35,Roger Michel,,87
03.24.67.65.34,Margaud Garnier,,475
0482962681,SABINE CAMUS,,47
03.61.99.95.44,Henriette Rodrigues,,369
03 81 76 31 01,SUSANNE VALENTIN,,500
02.22.82.45.33,Turpin Gabrielle,,385
04 86 44 89 45,Dijoux Joséphine,,126
0279620348,Frédérique Pages,,339
03.28.41.06.55,Jourdan Daniel,daniel.jourdan@live.com,104
04 84 34 44 99,Alex Da Costa,alex.dacosta@voila.fr,282
04 69 98 21 05,Chantal Étienne,,319
0427982759,Fernandez Sylvie,sylvie.fernandez@voila.fr,289
05.33.39.06.05,Rivière Aimé,aimé.rivière@laposte.net,196
03 24 46 51 26,COLIN THÉODORE,théodore.colin@sfr.fr,448
252981650,Maggie Colin,,255
0547347040,Voisin Gilbert,,179
04.99.87.50.52,Gilbert Hernandez,,234
03.87.29.95.19,BAILLY ADRIENNE,adrienne.bailly@bouygtel.fr,72
02.97.14.80.40,Parent Olivier,,44
02.99.97.32.69,Martin Thérèse,thérèse.martin@gmail.com,303
+33370320302,AURÉLIE JEAN,aurélie.jean@tele2.fr,405
+33372249521,Thibault Toussaint,thibault.toussaint@free.fr,339
01.88.28.41.69,Pelletier Raymond,raymond.pelletier@tiscali.fr,209
01.88.16.86.16,Françoise Mahe,,368
420005535,Étienne Paul,,408
+33(0)381675196,Marin Laurence,laurence.marin@tiscali.fr,116
0556323315,GRONDIN THÉOPHILE,,190
04 27 40 71 72,Anastasie Deschamps,anastasie.deschamps@dbmail.com,326
01 42 29 71 29,Susan Rey,,406
493538172,Laurence Étienne,,53
+33(0)321480721,Weber Danielle,,377
04.32.13.85.50,Roche Christelle,christelle.roche@bouygtel.fr,55
04 58 46 98 88,Margaret Pineau,margaret.pineau@gmail.com,285
01.73.08.45.59,Raymond Coste,raymond.coste@gmail.com,430
262118215,Benjamin Becker,,211
258601234,Alfred Imbert,alfred.imbert@voila.fr,357
02 44 15 01 03,JOSEPH SOPHIE,,225
234215404,Fournier Frédérique,frédérique.fournier@free.fr,200
386944799,BECKER RAYMOND,,252
02.61.58.56.58,DIAZ JACQUES,jacques.diaz@voila.fr,127
0375188095,Vincent Rossi,vincent.rossi@tele2.fr,125
05.82.06.43.46,Guibert Théodore,,268
0508469437,LECOQ JEANNE,,432
05.36.41.31.10,MATHIEU MARTIN,,221
04.26.96.21.24,Maryse Martins,,429
03.39.67.46.67,HARDY THIBAULT,thibault.hardy@yahoo.fr,190
03.57.43.22.55,ZACHARIE SAUVAGE,zacharie.sauvage@wanadoo.fr,187
03.80.88.33.97,Lesage Eugène,eugène.lesage@bouygtel.fr,50
235668751,Brun Olivier,olivier.brun@ifrance.com,442
03.64.74.01.21,Laurence Samson,,44
214177928,Camille Martel,camille.martel@voila.fr,68
04.94.11.23.57,Suzanne Delattre,,161
458385866,Camille Delmas,,105
01.43.37.47.94,Luce Daniel,,21
0169506877,NATH PEREZ,,450
+33(0)495922326,Becker Clémence,clémence.becker@tiscali.fr,302
389922717,Louise Bernard,,479
04.71.60.99.95,Élodie Bertrand,élodie.bertrand@sfr.fr,226
05.94.33.04.37,Margaret Georges,margaret.georges@hotmail.fr,398
322755999,Auguste Weiss,,74
03.55.67.14.13,Jeannine Perrin,,149
0519684759,Hardy Xavier,,151
04.58.27.39.52,Buisson Camille,camille.buisson@bouygtel.fr,443
298887291,Millet Lucas,,239
+33(0)497289184,Pasquier Bernard,,13
0370175120,Paul Henri,henri.paul@club-internet.fr,481
03.61.34.14.92,Gautier Charles,charles.gautier@wanadoo.fr,396
+33(0)420198373,Hoarau Adrien,,431
02 53 10 01 93,Grégoire Gilbert,,208
180401677,Didier Thibaut,,277
01.82.16.85.85,Boyer Laure,laure.boyer@orange.fr,170
03 68 13 21 31,BLONDEL LOUIS,,158
01 44 83 68 96,Leroy Thomas,,89
01.73.73.06.20,Martinez Dominique,,433
517764262,Vincent Zoé,zoé.vincent@bouygtel.fr,303
422530823,Simone Chrétien,simone.chrétien@sfr.fr,489
0139013864,MICHELLE BARBIER,michelle.barbier@gmail.com,455
0387366062,GAUTHIER MONIQUE,monique.gauthier@bouygtel.fr,454
+33469527882,Gauthier Anouk,,107
182209552,Normand Inès,,478
+33248162520,OLIVIER GUÉRIN,olivier.guérin@gmail.com,382
03.27.80.05.81,Émilie Mahe,émilie.mahe@noos.fr,53
466960609,LAUNAY CLÉMENCE,,91
03.69.71.94.25,LESAGE MARTHE,marthe.lesage@sfr.fr,169
255246301,Maryse Le Roux,,287
0179275960,Céline Maillard,céline.maillard@voila.fr,425
269476308,Odette Daniel,,72
0508477587,BRUNEL THÉRÈSE,,348
02 58 59 41 48,Danielle Bonnin,,326
179815427,DOS SANTOS CHRISTOPHE,,488
02 79 95 81 82,Emmanuel Camus,emmanuel.camus@hotmail.fr,62
458763255,Marcelle Raynaud,,15
02 53 88 12 00,GENEVIÈVE THIBAULT,,307
427210771,Loiseau Frédéric,frédéric.loiseau@noos.fr,399
02 43 01 27 48,ROUSSEAU GENEVIÈVE,,290
04.34.93.97.48,Potier Marcelle,marcelle.potier@live.com,459
231573499,Martin Grondin,martin.grondin@dbmail.com,208
156585338,Guilbert Eugène,eugène.guilbert@yahoo.fr,361
03.71.52.45.35,Constance Garnier,constance.garnier@voila.fr,241
471865618,Marques Corinne,corinne.marques@laposte.net,472
01 77 94 46 15,Poulain Margaud,,74
142662275,Rey Marie,,77
03.88.78.23.09,Thérèse Dumont,,355
02 21 71 71 61,NOËL JULIEN,julien.noël@ifrance.com,486
371022814,ZACHARIE DIAZ,,260
524276524,Blanchet Audrey,,413
02.98.98.75.37,JULIEN PINTO,julien.pinto@orange.fr,157
0559102257,ÉDITH LEROY,édith.leroy@dbmail.com,138
+33(0)285900405,Jacqueline Gosselin,,56
+33(0)240192451,Gosselin Édouard,,366
02.77.53.27.73,Chauveau Marc,,12
02.50.92.97.91,Berger Olivie,olivie.berger@yahoo.fr,231
01.56.50.71.57,ÉDOUARD BRUNET,édouard.brunet@hotmail.fr,393
144525491,ANTOINE SUSAN,susan.antoine@gmail.com,89
463801746,Martin Pasquier,,305
0546901803,Noémi Diallo,,493
02 62 88 18 19,Joséphine Coulon,,138
+33(0)532548329,Pierre Pierre,,288
01 41 05 58 98,Lenoir Émilie,émilie.lenoir@yahoo.fr,55
03 51 45 27 23,MARGARET LEBLANC,,295
04.63.60.95.87,François Pinto,,78
147917621,Véronique Laine,,298
02 48 86 05 44,Monnier Patrick,,409
257309851,Nicolas Lecomte,,29
03.88.19.55.43,Eugène Diallo,eugène.diallo@tele2.fr,46
01.73.81.57.29,MARGOT LEBON,,466
04 69 26 00 55,Delattre Alphonse,,345
0494173162,FISCHER OLIVIER,,293
467622999,Renard Valentine,,427
03.80.75.87.47,Claire Launay,,177
481414541,Gaillard Rémy,rémy.gaillard@noos.fr,333
05.63.43.38.69,Moreno Roger,roger.moreno@wanadoo.fr,284
03 65 75 16 82,Grenier Bernard,bernard.grenier@noos.fr,408
0553819339,Jérôme Picard,jérôme.picard@dbmail.com,219
02.85.57.93.60,Tanguy Bernadette,,261
04.72.22.69.69,Imbert Michelle,,171
05 36 80 41 72,Lemaître Margot,,120
05.65.98.32.56,Delahaye André,andré.delahaye@sfr.fr,295
04.86.55.57.98,Constance Andre,,437
0508733154,Da Silva Augustin,augustin.dasilva@free.fr,471
02.96.27.72.23,Éric Auger,éric.auger@orange.fr,79
325144074,Thomas Bernier,thomas.bernier@dbmail.com,252
04.97.98.28.68,Paul Astrid,astrid.paul@tele2.fr,498
422737933,Guy Joseph,,126
04.71.39.84.09,VICTOR SANCHEZ,,456
386468620,ANASTASIE ALLAIN,anastasie.allain@tele2.fr,249
+33324637951,Chauveau Bernard,bernard.chauveau@voila.fr,468
03 72 00 10 67,Mahe Luc,luc.mahe@laposte.net,495
0176522783,William Peron,,130
02 79 01 94 11,Coste Sophie,,369
02.48.95.98.10,Emmanuel Maury,emmanuel.maury@bouygtel.fr,195
+33170576605,GIRAUD YVES,yves.giraud@live.com,399
535016926,Blondel Dorothée,,140
05 67 85 35 79,Mallet Christophe,christophe.mallet@wanadoo.fr,97
155477199,Lucy Lebrun,lucy.lebrun@live.com,319
03 81 18 35 95,GODARD STÉPHANIE,,144
05.94.27.10.26,Payet Édith,édith.payet@bouygtel.fr,390
+33(0)180407703,Lemaire Laurence,,140
03 65 58 46 37,Carlier Jérôme,,15
03 24 02 48 79,Chauvet Auguste,auguste.chauvet@bouygtel.fr,404
02 19 21 57 62,Audrey Foucher,audrey.foucher@noos.fr,48
01.73.60.50.73,FAIVRE MARYSE,,13
0272354389,Royer Dorothée,,14
03 27 83 90 85,WAGNER ALAIN,,224
02 32 66 90 72,Noémi Millet,,349
05 16 64 56 66,Couturier Marianne,,286
05.32.16.99.07,Colette Tanguy,,152
475329079,Blanchet Stéphanie,stéphanie.blanchet@yahoo.fr,159
04.82.28.23.95,Benoît Carre,,225
664816556,Pénélope Bertin,,218
03.27.71.67.92,Adrien Potier,adrien.potier@laposte.net,224
176544860,Nathalie Michel,nathalie.michel@wanadoo.fr,122
01 43 68 52 35,François Nathalie,nathalie.françois@club-internet.fr,83
04 97 11 39 35,Dubois Hélène,,394
04 49 41 03 80,Dominique Laine,,81
04.38.31.61.62,Laurence Thierry,laurence.thierry@voila.fr,375
+33139642518,Arnaude Mahe,,215
+33231691131,Alphonse Duval,alphonse.duval@live.com,495
0524602388,Marchal Valérie,,145
05.58.16.53.21,Bernier Victor,victor.bernier@free.fr,486
